code,title,block_type,description,activity_title,activity_id,options
dim_biensoc_22g,Limpieza al finalizar la actividad,radio,,Actividades de comercio local,104,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_biensoc_26a,Selecciona la actividad comunitaria,radio,,Actividades de participación comunitaria,105,"{'choices': [{'label': 'Asamblea o reunión de la comunidad', 'value': 'ASAMBLEA'}, {'label': 'Reunión con municipio y otras instituciones', 'value': 'REUNION_MUNICIPAL'}, {'label': 'Taller comunitari (capacitaciones, charlas etc)', 'value': 'TALLER_COMUNITARIO'}, {'label': 'Otra', 'value': 'OTRA'}]}"
dim_biensoc_26b,Otra,short_text,"Por favor, especifique.",Actividades de participación comunitaria,105,
dim_biensoc_26c,Diversidad e integración de personas,radio,Todas las personas son bienvenidas y participan.,Actividades de participación comunitaria,105,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_biensoc_26d,Percepción de seguridad,radio,,Actividades de participación comunitaria,105,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_biensoc_26e,Precios y costos de servicios,radio,Son bajos y/o gratuítos.,Actividades de participación comunitaria,105,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_biensoc_26f,Espacio adecuado para la actividad,radio,,Actividades de participación comunitaria,105,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_biensoc_26g,Limpieza al finalizar la actividad,radio,,Actividades de participación comunitaria,105,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_biensoc_27a,Selecciona la actividad deportiva,radio,,Actividades deportivas,106,"{'choices': [{'label': 'Evento deportivo', 'value': 'EVENTO_DEPORTIVO'}, {'label': 'Ruta ciclista recreativa', 'value': 'RUTA_CICLISTA_RECREATIVA'}, {'label': 'Otra', 'value': 'OTRA'}]}"
dim_biensoc_27b,Otra,short_text,"Por favor, especifique.",Actividades deportivas,106,
dim_biensoc_27c,Diversidad e integración de personas,radio,Todas las personas son bienvenidas y participan,Actividades deportivas,106,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_biensoc_27d,Percepción de seguridad,radio,,Actividades deportivas,106,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_biensoc_27e,Precios y costos de servicios,radio,Son bajos y/o gratuitos,Actividades deportivas,106,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_biensoc_27f,Espacio adecuado para la actividad,radio,,Actividades deportivas,106,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_biensoc_27g,Limpieza al finalizar la actividad,radio,,Actividades deportivas,106,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_biensoc_24a,Selecciona la actividad y/o espacio comercial,radio,,"Mercados locales, fruterías, verdulerías",107,"{'choices': [{'label': 'Mercado temporal de alimentos, frutas y verduras', 'value': 'MERCADO_TEMPORAL'}, {'label': 'Puesto de venta callejero de alimentos, frutas y verduras', 'value': 'PUESTO_CALLEJERO'}, {'label': 'Local comercial de venta de alimentos, frutas y verduras', 'value': 'LOCAL_COMERCIAL'}, {'label': 'Otro', 'value': 'OTRO'}]}"
dim_biensoc_24b,Otro,short_text,"Por favor, especifique.","Mercados locales, fruterías, verdulerías",107,
dim_biensoc_24c,Frecuencia y disponibilidad del puesto de venta,radio,,"Mercados locales, fruterías, verdulerías",107,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_biensoc_24d,Sensación de seguridad,radio,,"Mercados locales, fruterías, verdulerías",107,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_biensoc_24e,Calidad productos,radio,,"Mercados locales, fruterías, verdulerías",107,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_biensoc_24f,Precios bajos y/o costeables,radio,,"Mercados locales, fruterías, verdulerías",107,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_biensoc_24g,Espacio adecuado y cómodo,radio,,"Mercados locales, fruterías, verdulerías",107,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_biensoc_24h,Limpieza posterior,radio,,"Mercados locales, fruterías, verdulerías",107,"{'choices': [{'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
dim_medamb_18a,Expulsión de humo por automóviles/camiones,radio,,Contaminación del aire,109,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_medamb_18b,Explusión de humo por actividades comerciales/industriales,radio,"Fábricas, venta de comida, etc.",Contaminación del aire,109,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}, {'label': 'Ninguno ❌', 'value': 'NINGUNO'}]}"
dim_medamb_18c,Malos olores,radio,Químicos y otros elementos tóxicos,Contaminación del aire,109,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}, {'label': 'Ninguno ❌', 'value': 'NINGUNO'}]}"
dim_medamb_18d,Quema de basura,radio,,Contaminación del aire,109,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}, {'label': 'Ninguno ❌', 'value': 'NINGUNO'}]}"
dim_medamb_18e,Quema de residuos agrícolas y uso de fertilizantes,radio,,Contaminación del aire,109,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}, {'label': 'Ninguno ❌', 'value': 'NINGUNO'}]}"
dim_medamb_18f,Incendios forestales,radio,,Contaminación del aire,109,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}, {'label': 'Ninguno ❌', 'value': 'NINGUNO'}]}"
dim_medamb_18g,Tormentas de arena,radio,,Contaminación del aire,109,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}, {'label': 'Ninguno ❌', 'value': 'NINGUNO'}]}"
dim_medamb_18h,Sensación de malestar al transitar por la zona,radio,"ej. picor de ojos, nariz, ojos llorosos, dolor de cabeza, náuseas, etc.",Contaminación del aire,109,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}, {'label': 'Ninguno ❌', 'value': 'NINGUNO'}]}"
dim_medamb_18j,Otro,short_text,"Por favor, especifique.",Contaminación del aire,109,
dim_medamb_21a,Selecciona el tipo de drenaje y/o alcantarillado,radio,,Drenaje y alcantarillado,110,"{'choices': [{'label': 'Alcantarillado (tuberías de aguas residuales)', 'value': 'ALCANTARILLADO'}, {'label': 'Drenaje de agua de lluvias (tuberías, rejillas y otras estructuras para agua de lluvia)', 'value': 'DRENAJE'}, {'label': 'Otro', 'value': 'OTRO'}, {'label': 'No hay', 'value': 'NO_HAY'}]}"
dim_medamb_21b,Otro,short_text,"Por favor, especifique.",Drenaje y alcantarillado,110,
dim_medamb_21c,Punto de acumulación de agua en calles,radio,Zonas que se encharcan.,Drenaje y alcantarillado,110,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}, {'label': 'Ninguno ❌', 'value': 'NINGUNO'}]}"
dim_medamb_21d,Inundaciones dentro de viviendas y/o negocios,radio,,Drenaje y alcantarillado,110,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}, {'label': 'Ninguno ❌', 'value': 'NINGUNO'}]}"
dim_medamb_21e,Acumulación de basura y contaminación,radio,,Drenaje y alcantarillado,110,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}, {'label': 'Ninguno ❌', 'value': 'NINGUNO'}]}"
dim_medamb_21f,Malos olores,radio,"Mal olor, desechos orgánicos, basura, entre otros",Drenaje y alcantarillado,110,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}, {'label': 'Ninguno ❌', 'value': 'NINGUNO'}]}"
dim_medamb_21g,"Zonas sin alcantarillado, descargas de aguas residuales domiciliarias a la calle",radio,,Drenaje y alcantarillado,110,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}, {'label': 'Ninguno ❌', 'value': 'NINGUNO'}]}"
dim_medamb_21h,"Zonas sin drenaje, al llover se inunda o se acumula agua",radio,,Drenaje y alcantarillado,110,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}, {'label': 'Ninguno ❌', 'value': 'NINGUNO'}]}"
dim_medamb_21i,Estructuras de contención de agua de lluvias en mal estado o insuficientes,radio,,Drenaje y alcantarillado,110,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}, {'label': 'Ninguno ❌', 'value': 'NINGUNO'}]}"
dim_medamb_21k,Otro,short_text,"Por favor, especifique.",Drenaje y alcantarillado,110,
dim_medamb_20a,Selecciona el tipo de fuente natural de agua,radio,,Fuentes naturales de agua,111,"{'choices': [{'label': 'Río o canal', 'value': 'RIO_CANAL'}, {'label': 'Lago o estanque', 'value': 'LAGO_ESTANQUE'}, {'label': 'Humedal', 'value': 'HUMEDAL'}, {'label': 'Pozo', 'value': 'POZO'}, {'label': 'Otro', 'value': 'OTRO'}]}"
dim_medamb_20b,Otro,short_text,"Por favor, especifica.",Fuentes naturales de agua,111,
dim_medamb_20c,"Cambios en los niveles de agua de ríos, lagos o estanques, o se encuentran secos",radio,,Fuentes naturales de agua,111,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_medamb_20d,"Fuentes de contaminación (basura, alcantarillado) cerca de las fuentes de agua",radio,,Fuentes naturales de agua,111,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_medamb_20e,"Reducción de la biodiversidad (animales acuáticos), si existían antes",radio,,Fuentes naturales de agua,111,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_medamb_20g,Otro,short_text,"Por favor, especifica.",Fuentes naturales de agua,111,
dim_medamb_15a,¿Qué propondrías para mejorar la separación y recolección de basura en este punto?,checkbox,Puedes seleccionar más de una.,Punto de recolección de basura y reciclaje (POTENCIAL) ⭐️⭐️,112,"{'choices': [{'label': 'Instalar contenedores de basura', 'value': 'INSTALAR_CONTENEDORES'}, {'label': 'Instalar basureros', 'value': 'INSTALAR_BASUREROS'}, {'label': 'Instalar puntos de reciclaje', 'value': 'INSTALAR_PUNTOS_RECICLAJE'}, {'label': 'Instalar puntos de compostaje', 'value': 'INSTALAR_PUNTOS_COMPOSTAJE'}, {'label': 'Instalar puntos para recoleción de otros tipos de basura (residuos peligrosos, construcción)', 'value': 'INSTALAR_PUNTOS_OTROS'}, {'label': 'Generar un espacio de educación ambiental sobre la separación de basura', 'value': 'ESPACIO_EDUCACION_AMBIENTAL'}, {'label': 'Generar un espacio para cooperativas de reciclaje ', 'value': 'COOPERATIVA_RECICLAJE'}]}"
dim_medamb_15b,Selecciona las razones por las que consideras que la zona tiene potencial.,checkbox,Puedes seleccionar más de una.,Punto de recolección de basura y reciclaje (POTENCIAL) ⭐️⭐️,112,"{'choices': [{'label': 'Está cerca de la mayoría de los hogares y negocios del barrio.', 'value': 'CERCA_HOGARES'}, {'label': 'Hay espacio suficiente ', 'value': 'ESPACIO_SUFICIENTE'}, {'label': 'Hay capacidad para diferentes tipos de basura (papel, plástico, vidrio, metal, aceite usado, electronicos, etc)', 'value': 'HAY_CAPACIDAD'}, {'label': 'Terreno adecuado con buena exposición al sol y fácil acceso al agua (para compostaje)', 'value': 'TERRENO_ADECUADO'}, {'label': 'Otro', 'value': 'OTRO'}]}"
dim_medamb_15c,Otro,short_text,"Por favor, especifique",Punto de recolección de basura y reciclaje (POTENCIAL) ⭐️⭐️,112,
dim_medamb_16a,Selecciona el tipo de punto.,radio,,Puntos de acumulación de basura,115,"{'choices': [{'label': 'Tiradero y/o relleno sanitario oficial (municipal o privado)', 'value': 'TIRADERO_OFICIAL'}, {'label': 'Tiradero de basura no oficial', 'value': 'TIRADERO_NO_OFICIAL'}, {'label': 'Acumulación de basura puntual', 'value': 'ACUMULACION_BASURA'}]}"
dim_medamb_16b,Mal olor,radio,,Puntos de acumulación de basura,115,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_medamb_16c,"Plaga de animales/insectos (ratas, moscas, entre otras)",radio,,Puntos de acumulación de basura,115,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_medamb_16d,Rellenos sanitarios no controlados,radio,,Puntos de acumulación de basura,115,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_medamb_16e,Problema de recolección de basura en la zona,radio,,Puntos de acumulación de basura,115,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_medamb_16f,Falta de limpieza en las calles cercanas,radio,,Puntos de acumulación de basura,115,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_medamb_16h,Otro,short_text,"Por favor, especifica.",Puntos de acumulación de basura,115,
dim_enturb_9a,"En general, ¿consideras que la banqueta y/o camino está en buenas condiciones?",radio,,Banquetas y caminos,116,"{'choices': [{'label': 'Sí, está en buenas condiciones.', 'value': 'SI'}, {'label': 'No, presenta problemas.', 'value': 'NO'}]}"
dim_enturb_9b,No hay banqueta,radio,,Banquetas y caminos,116,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_enturb_9c,Ancho insuficiente,radio,"No caben dos personas, con silla de ruedas o carreola",Banquetas y caminos,116,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_enturb_9d,Obstáculos,radio,"Automóviles que impidan caminar, árboles, postes, entre otros",Banquetas y caminos,116,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_enturb_9e,Pavimento insuficiente o en mal estado,radio,"Superficies sin pavimento, baches, grietas, agujeros",Banquetas y caminos,116,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_enturb_9f,Falta sombra,radio,"Arbolado, elementos fijos que den sombra, entre otros",Banquetas y caminos,116,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_enturb_9g,Falta de iluminación,radio,,Banquetas y caminos,116,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_enturb_9h,Inseguridad vial,radio,"Atropellos, choques",Banquetas y caminos,116,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_enturb_9i,Inseguridad por asaltos y/o robos,radio,,Banquetas y caminos,116,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_enturb_9o,Inseguridad por situaciones de acoso,radio,,Banquetas y caminos,116,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'GRAVE'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_enturb_9j,Falta mobiliario urbano,radio,"Bancos, basureros, etc.",Banquetas y caminos,116,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_enturb_9k,"No hay presencia de otras personas, mujeres, niñas y niños",radio,,Banquetas y caminos,116,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_enturb_9l,No hay visibilidad y actividades alrededor,radio,"Tiendas, frentes y fachadas con ventanas",Banquetas y caminos,116,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_enturb_9m,No hay presencia de personal de seguridad,radio,"Guardias, policias, etc.",Banquetas y caminos,116,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
dim_enturb_9n,No hay elementos de seguridad,radio,"cámaras de seguridad, alarmas, botones de pánico",Banquetas y caminos,116,"{'choices': [{'label': 'Grave 😢', 'value': 'GRAVE'}, {'label': 'Moderado 🙁', 'value': 'MODERADO'}, {'label': 'Leve 😐', 'value': 'LEVE'}]}"
,Otro,short_text,"Por favor, especifique.",Banquetas y caminos,116,
dim_enturb_11b,Selecciona las razones por las que consideras es necesario el/los elemento/s.,checkbox,Puedes seleccionar más de uno,Banquetas y cruces peatonales (POTENCIALES) ⭐️⭐️,117,"{'choices': [{'label': 'Hay muchas personas que caminan en esta área', 'value': 'HAY_MUCHOS_PEATONES'}, {'label': 'Mejorar la seguridad al caminar y cruzar las calles y evitar siniestros viales', 'value': 'MEJORAR_SEGURIDAD'}, {'label': 'Para fomentar que las niñas y niños caminen con seguridad', 'value': 'FOMENTAR_SEGURIDAD_INFANTIL'}, {'label': 'Para conectar escuelas, parques/espacios abiertos cercanos ', 'value': 'CONECTAR_ESPACIOS'}, {'label': 'Para fomentar el comercio local', 'value': 'FOMENTAR_COMERCIO_LOCAL'}, {'label': 'Mejorar la apariencia del espacio público y embellecer el área', 'value': 'MEJORAR_APARIENCIA'}, {'label': 'Otro', 'value': 'OTRO'}]}"
dim_enturb_11a,¿Qué elemento quieres proponer?,checkbox,Puedes seleccionar más de uno.,Banquetas y cruces peatonales (POTENCIALES) ⭐️⭐️,117,"{'choices': [{'label': 'Banqueta', 'value': 'BANQUETA'}, {'label': 'Calle peatonal', 'value': 'CALLE_PEATONAL'}, {'label': 'Cruce peatonal', 'value': 'CRUCE_PEATONAL'}]}"
dim_enturb_11c,Otro,short_text,"Por favor, especifica.",Banquetas y cruces peatonales (POTENCIALES) ⭐️⭐️,117,
dim_enturb_6a,¿Qué elementos quieres proponer?,radio,Puedes seleccionar más de uno.,Ciclovías y biciestacionamientos (POTENCIALES) ⭐️⭐️,119,"{'choices': [{'label': 'Ciclovía', 'value': 'CICLOVIA'}, {'label': 'Calle con preferencia ciclista o zona 30 km/hr', 'value': 'CALLE_PREFERENCIA'}, {'label': 'Biciestacionamientos', 'value': 'BICIESTACIONAMIENTO'}]}"
dim_enturb_6b,Selecciona las razones por las que consideras es necesario el elemento.,checkbox,Puedes seleccionar más de una.,Ciclovías y biciestacionamientos (POTENCIALES) ⭐️⭐️,119,"{'choices': [{'label': 'Hay muchas personas que usan la bicicleta', 'value': 'HAY_MUCHOS_CICLCISTAS'}, {'label': 'Mejorar la seguridad al andar en bicicleta y/o estacionar la bicicleta', 'value': 'MEJORAR_SEGURIDAD'}, {'label': 'Para fomentar que las niñas y niños anden en bicicleta', 'value': 'FOMENTAR_USO_INFANTIL'}, {'label': 'Para poder conectar escuelas, parques/espacios abiertos cercanos ', 'value': 'CONECTAR_ESPACIOS'}, {'label': 'Otro', 'value': 'OTRAS'}]}"
dim_enturb_6c,Otro,short_text,"Por favor, especifica",Ciclovías y biciestacionamientos (POTENCIALES) ⭐️⭐️,119,
dim_enturb_10a,Seguridad ante siniestros viales como atropellamientos y choques,radio,A salvo de siniestros viales como atropellamientos y choques,Cruces peatonales,121,"{'choices': [{'label': 'No hay ❌', 'value': 'NO_HAY'}, {'label': 'Malo 😡', 'value': 'MALO'}, {'label': 'Regular 😐', 'value': 'REGULAR'}, {'label': 'Bueno 😊', 'value': 'BUENO'}]}"
